anime_id,title,genre,type,episodes,rating,members,set
32281,kimi no na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,"{'Drama', 'School', 'Romance', 'Movie', 'Supernatural'}"
5114,fullmetal alchemist: brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"{'Adventure', 'TV', 'Shounen', 'Drama', 'Action', 'Military', 'Magic', 'Fantasy'}"
28977,gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"{'TV', 'Shounen', 'Sci-Fi', 'Action', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
9253,steins;gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"{'Sci-Fi', 'TV', 'Thriller'}"
9969,gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"{'TV', 'Shounen', 'Sci-Fi', 'Action', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
32935,haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,"{'TV', 'Shounen', 'Drama', 'School', 'Comedy', 'Sports'}"
11061,hunter x hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,"{'Super Power', 'Adventure', 'TV', 'Shounen', 'Action'}"
820,ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,"{'Space', 'OVA', 'Drama', 'Sci-Fi', 'Military'}"
15335,gintama movie: kanketsu-hen - yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,"{'Shounen', 'Sci-Fi', 'Action', 'Movie', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
15417,gintama&#039;: enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,"{'TV', 'Shounen', 'Sci-Fi', 'Action', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
4181,clannad: after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,"{'TV', 'Drama', 'Romance', 'Supernatural', 'Slice of Life', 'Fantasy'}"
28851,koe no katachi,"Drama, School, Shounen",Movie,1,9.05,102733,"{'Movie', 'Drama', 'School', 'Shounen'}"
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,"{'TV', 'Shounen', 'Sci-Fi', 'Action', 'Parody', 'Samurai', 'Comedy', 'Historical'}"
2904,code geass: hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,"{'Super Power', 'TV', 'Drama', 'Sci-Fi', 'Action', 'Military', 'Mecha'}"
28891,haikyuu!! second season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,"{'TV', 'Shounen', 'Drama', 'School', 'Comedy', 'Sports'}"
199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,"{'Movie', 'Drama', 'Adventure', 'Supernatural'}"
23273,shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,"{'TV', 'Shounen', 'Drama', 'School', 'Romance', 'Music'}"
24701,mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,"{'Adventure', 'TV', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
12355,ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,"{'Movie', 'Slice of Life', 'Fantasy'}"
1575,code geass: hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,"{'Super Power', 'TV', 'Sci-Fi', 'School', 'Action', 'Military', 'Mecha'}"
263,hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,"{'TV', 'Shounen', 'Drama', 'Comedy', 'Sports'}"
44,rurouni kenshin: meiji kenkaku romantan - tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,"{'OVA', 'Drama', 'Action', 'Romance', 'Samurai', 'Historical', 'Martial Arts'}"
1,cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,"{'Adventure', 'Space', 'TV', 'Drama', 'Sci-Fi', 'Action', 'Comedy'}"
30276,one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,"{'Super Power', 'TV', 'Sci-Fi', 'Action', 'Parody', 'Comedy', 'Seinen', 'Supernatural'}"
164,mononoke hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,"{'Movie', 'Adventure', 'Action', 'Fantasy'}"
7311,suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,"{'School', 'Sci-Fi', 'Romance', 'Movie', 'Comedy', 'Mystery', 'Supernatural'}"
17074,monogatari series: second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,"{'TV', 'Vampire', 'Romance', 'Comedy', 'Supernatural', 'Mystery'}"
21939,mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,"{'Adventure', 'TV', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,"{'Adventure', 'TV', 'Seinen', 'Historical', 'Mystery', 'Supernatural', 'Slice of Life', 'Fantasy'}"
2001,tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"{'Adventure', 'TV', 'Sci-Fi', 'Action', 'Comedy', 'Mecha'}"
245,great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,"{'TV', 'Shounen', 'Drama', 'School', 'Comedy', 'Slice of Life'}"
